3220, 3208
3221, 3214
3224, 3214
3224, 3219
3219, 3225
3222, 3229
3224, 3227
3215, 3222
3214, 3227
3205, 3228
3214, 3215
3215, 3212
3211, 3211
3207, 3210
3210, 3216
3209, 3205
3213, 3205
3204, 3204
3202, 3215
3203, 3223
3297, 3233
3211, 3232
3218, 3233
3229, 3224
3234, 3216
3235, 3218
3233, 3222
3235, 3227
3230, 3230
3230, 3238
3229, 3241
3241, 3218
3244, 3214
3243, 4209
3246, 3208
3241, 3206
3235, 3208
3231, 3207
3235, 3205
3230, 3203
3228, 3202
3236, 3200
3240, 3201
3246, 3201
3244, 3197
3239, 3195
3249, 3199
3241, 3192
3247, 3194
3251, 3193
3234, 3197
3230, 3198
3226, 3234
3226, 3243
3219, 3245
3211, 3248
3212, 3244
3218, 3250
3215, 3255
3220, 3256
3224, 3254
3227, 3262
3227, 3266
3228, 3268
3235, 3262
3247, 3261
3252, 3260
3244, 3251
3249, 3249
3246, 3246
3243, 3247
3246, 3237
3246, 3234
3250, 3232
3256, 3236
3259, 3240
3260, 3236
3263, 3238
3263, 3248
3257, 3251
3263, 3231
3259, 3228
3253, 3230
3253, 3226
3246, 3225
3242, 3226
3236, 3226
3241, 3222
3219, 3238
3214, 3237
3218, 3262
3220, 3271
3214, 3275
-Varrock
3210, 3424
3207, 3427
3209, 3432
3207, 3436
3211, 3434
3215, 3436
3216, 3432
3219, 3435
3221, 3432
3217, 3427
3218, 3423
3214, 3418
3217, 3415
3214, 3411
3210, 3412
3211, 3417
3203, 3417
3207, 3414
3202, 3425
3203, 3436
3201, 3433
3203, 3429
3196, 3427
3192, 3431
3185, 3432
3182, 3427
3186, 3426
3189, 3424
3189, 3421
3180, 3446
3184, 3444
3180, 3440
3182, 3437
3186, 3434
3183, 3431
3176, 3432
3173, 3427
3175, 3424
3181, 3417
3183, 3415
3185, 3413
3188, 3413
3183, 3408
3181, 3410
3185, 3404
3179, 3400
3184, 3401
3187, 3408
3190, 3406
3192, 3405
3197, 3405
3189, 3399
3195, 3400
3190, 3397
3191, 3394
3193, 3391
3196, 3394
3200, 3398
3203, 3409
3195, 3415
3196, 3411
3192, 3419
3187, 3417
3191, 3423
3193, 3426
3197, 3415
3204, 3395
3205, 3399
3207, 3400
3207, 3396
3210, 3405
3206, 3408
3209, 3411
3213, 3407
3211, 3397
3213, 3396
3216, 3395
3220, 3400
3222, 3395
3226, 3397
3226, 3401
3229, 3399
3231, 3395
3217, 3390
3211, 3387
3209, 3392
3208, 3384
3213, 3384
3215, 3387
3217, 3384
3220, 3386
3223, 3388
3227, 3382
3200, 3390
3197, 3383
3192, 3386
3190, 3382
3187, 3386
3183, 3383
3183, 3389
3186, 3392
3183, 3397
3218, 3390
3222, 3392
3229, 3391
3234, 3383
3237, 3386
3239, 3389
3238, 3394
3241, 3395
3243, 3387
3246, 3390
3246, 3383
3251, 3390
3244, 3394
3250, 3397
3253, 3393
3255, 3384
3258, 3382
3260, 3385
3258, 3392
3261, 3394
3255, 3397
3253, 3401
3243, 3402
3238, 3405
3230, 3407
3228, 3407
3226, 3407
3226, 3412
3229, 3415
3225, 3421
